plus +
plus_plus ++
plus_assign +=

minus -
mius_minus --
minus_assign -=

star *
star_assign *=
star_star **
star_star_assign **=

slash /
slash_assign /=
slash_slash //
slash_slash_assign //=

percent %
percent_assign %=

bit_left_shift <<
bit_left_shift_assign <<=
bit_right_shift >>
bit_right_shift_assign >>=
bit_and &
bit_and_assign &=
bit_or |
bit_or_assign |=
bit_xor ^
bit_xor_assign ^=

equal ==
not_equal !=
not !

more_than >
more_than_equal >=
less_than <
less_than_equal <=
or ||
and &&

assign =

member_access .
union ,
